id,name,concept,score,use_case
Open folder,open-folder,folder,0.90,"File organization, directory structures, content grouping"
powershot-camera-capture-s1-is,powershot-camera-capture-s1-is,camera,0.90,"Multimedia capture, image uploads, visual content"
powershot-camera-capture-s80,powershot-camera-capture-s80,camera,0.90,"Multimedia capture, image uploads, visual content"
powershot-camera-capture-sd450,powershot-camera-capture-sd450,camera,0.90,"Multimedia capture, image uploads, visual content"
settings,settings,gear,0.90,"User preferences, system configuration, engine settings"
Time settings,time-settings,gear,0.90,"User preferences, system configuration, engine settings"
user-1,user-1,user,0.90,"Profile management, account settings, member directories"
user-2,user-2,user,0.90,"Profile management, account settings, member directories"
Add_folder_32x32,add-folder-32x32,folder,0.90,"File organization, directory structures, content grouping"
camera-camera-capture-24x24,camera-camera-capture-24x24,camera,0.90,"Multimedia capture, image uploads, visual content"
camera-camera-capture-32x32,camera-camera-capture-32x32,camera,0.90,"Multimedia capture, image uploads, visual content"
card_file_24x24,card-file-24x24,document,0.90,"File management, text editing, report generation"
closed_folder_24x24,closed-folder-24x24,folder,0.90,"File organization, directory structures, content grouping"
Close_file_32x32,close-file-32x32,document,0.90,"File management, text editing, report generation"
Close_folder_32x32,close-folder-32x32,folder,0.90,"File organization, directory structures, content grouping"
Color_profile_32x32,color-profile-32x32,document,0.90,"File management, text editing, report generation"
Downloads_folder_16x16,downloads-folder-16x16,folder,0.90,"File organization, directory structures, content grouping"
downloads_folder_24x24,downloads-folder-24x24,folder,0.90,"File organization, directory structures, content grouping"
File_exetension_32x32,file-exetension-32x32,document,0.90,"File management, text editing, report generation"
folder_24x24,folder-24x24,folder,0.90,"File organization, directory structures, content grouping"
Folder_32x32,folder-32x32,folder,0.90,"File organization, directory structures, content grouping"
Graphic_file_32x32,graphic-file-32x32,document,0.90,"File management, text editing, report generation"
New_file_32x32,new-file-32x32,document,0.90,"File management, text editing, report generation"
Open_file_16x16,open-file-16x16,document,0.90,"File management, text editing, report generation"
open_file_24x24,open-file-24x24,document,0.90,"File management, text editing, report generation"
Open_file_32x32,open-file-32x32,document,0.90,"File management, text editing, report generation"
Open_file_48x48,open-file-48x48,document,0.90,"File management, text editing, report generation"
open_folder_24x24,open-folder-24x24,folder,0.90,"File organization, directory structures, content grouping"
pdf_32x32,pdf-32x32,document,0.90,"File management, text editing, report generation"
powershot-camera-capture-s1-is-128x128,powershot-camera-capture-s1-is-128x128,camera,0.90,"Multimedia capture, image uploads, visual content"
powershot-camera-capture-s1-is-16x16,powershot-camera-capture-s1-is-16x16,camera,0.90,"Multimedia capture, image uploads, visual content"
powershot-camera-capture-s1-is-32x32,powershot-camera-capture-s1-is-32x32,camera,0.90,"Multimedia capture, image uploads, visual content"
powershot-camera-capture-s1-is-48x48,powershot-camera-capture-s1-is-48x48,camera,0.90,"Multimedia capture, image uploads, visual content"
powershot-camera-capture-s80-128x128,powershot-camera-capture-s80-128x128,camera,0.90,"Multimedia capture, image uploads, visual content"
powershot-camera-capture-s80-16x16,powershot-camera-capture-s80-16x16,camera,0.90,"Multimedia capture, image uploads, visual content"
powershot-camera-capture-s80-32x32,powershot-camera-capture-s80-32x32,camera,0.90,"Multimedia capture, image uploads, visual content"
powershot-camera-capture-s80-48x48,powershot-camera-capture-s80-48x48,camera,0.90,"Multimedia capture, image uploads, visual content"
powershot-camera-capture-sd450-128x128,powershot-camera-capture-sd450-128x128,camera,0.90,"Multimedia capture, image uploads, visual content"
powershot-camera-capture-sd450-16x16,powershot-camera-capture-sd450-16x16,camera,0.90,"Multimedia capture, image uploads, visual content"
powershot-camera-capture-sd450-32x32,powershot-camera-capture-sd450-32x32,camera,0.90,"Multimedia capture, image uploads, visual content"
powershot-camera-capture-sd450-48x48,powershot-camera-capture-sd450-48x48,camera,0.90,"Multimedia capture, image uploads, visual content"
Save_file_16x16,save-file-16x16,document,0.90,"File management, text editing, report generation"
Save_file_32x32,save-file-32x32,document,0.90,"File management, text editing, report generation"
Save_file_48x48,save-file-48x48,document,0.90,"File management, text editing, report generation"
settings_32x32,settings-32x32,gear,0.90,"User preferences, system configuration, engine settings"
Settings_32x32,settings-32x32,gear,0.90,"User preferences, system configuration, engine settings"
Time_settings_48x48,time-settings-48x48,gear,0.90,"User preferences, system configuration, engine settings"
user-1_32x32,user-1-32x32,user,0.90,"Profile management, account settings, member directories"
user-2_32x32,user-2-32x32,user,0.90,"Profile management, account settings, member directories"
user_24x24,user-24x24,user,0.90,"Profile management, account settings, member directories"
User_group_16x16,user-group-16x16,user,0.90,"Profile management, account settings, member directories"
user_group_24x24,user-group-24x24,user,0.90,"Profile management, account settings, member directories"
camera-camera-capture-24x24-variant2,camera-camera-capture-24x24-variant2,camera,0.90,"Multimedia capture, image uploads, visual content"
Card_file_24x24,card-file-24x24,document,0.90,"File management, text editing, report generation"
Closed_folder_24x24,closed-folder-24x24,folder,0.90,"File organization, directory structures, content grouping"
Downloads_folder_24x24,downloads-folder-24x24,folder,0.90,"File organization, directory structures, content grouping"
Folder_24x24,folder-24x24,folder,0.90,"File organization, directory structures, content grouping"
Open_folder_24x24,open-folder-24x24,folder,0.90,"File organization, directory structures, content grouping"
User_24x24,user-24x24,user,0.90,"Profile management, account settings, member directories"
